iter	MAE	RMSE
0	93.11105971	159.6976372
5	88.72314487	152.4706103
10	84.54012711	145.6108341
15	80.58921676	139.1104914
20	76.79043056	132.9301
25	73.20656908	127.0657598
30	69.80232407	121.4992338
35	66.57618434	116.2173768
40	63.4960623	111.2055927
45	60.57183139	106.4564623
50	57.78664816	101.9437987
55	55.1252068	97.6563336
60	52.621952	93.59968139
65	50.23967221	89.75854729
70	47.97074535	86.11116379
75	45.82069193	82.66789602
80	43.80290123	79.41863859
85	41.86408486	76.33376416
90	40.02552292	73.41639232
95	38.27561929	70.66004308
100	36.64162178	68.05446911
105	35.09155514	65.59729219
110	33.61697562	63.2794161
115	32.24575004	61.09808222
120	30.94641421	59.04355075
125	29.69437046	57.10470405
130	28.5258875	55.28325262
135	27.44439304	53.56994645
140	26.38689489	51.96255976
145	25.41347961	50.44995675
150	24.50091531	49.02668461
155	23.61165119	47.68310362
160	22.77835421	46.42871281
165	21.97755235	45.25651939
170	21.25274648	44.16091351
