iter	Passed	Remaining
0	197	985886
1	379	949479
2	560	934024
3	741	926423
4	922	921749
5	1116	928922
6	1297	925405
7	1478	922600
8	1659	920396
9	1840	918448
10	2034	922747
11	2215	920934
12	2396	919197
13	2577	917801
14	2758	916695
15	2951	919388
16	3132	918291
17	3314	917388
18	3495	916444
19	3676	915570
20	3870	917565
21	4051	916685
22	4232	915804
23	4413	915083
24	4594	914380
25	4787	915939
26	4969	915285
27	5150	914544
28	5330	913778
29	5512	913235
30	5705	914542
31	5887	913962
32	6068	913431
33	6250	912875
34	6431	912381
35	6625	913602
36	6806	912999
37	6988	912529
38	7169	911982
39	7348	911232
40	7542	912294
41	7724	911840
42	7905	911345
43	8086	910831
44	8267	910341
45	8461	911289
46	8643	910928
47	8824	910411
48	9005	909963
49	9187	909611
50	9381	910328
51	9562	909947
52	9744	909571
53	9925	909076
54	10106	908676
55	10301	909474
56	10482	909051
57	10664	908697
58	10846	908369
59	11027	907962
60	11221	908602
61	11403	908223
62	11584	907824
63	11765	907445
64	11950	907303
65	12144	907886
66	12325	907468
67	12506	907092
68	12688	906752
69	12869	906414
70	13062	906844
71	13244	906502
72	13426	906185
73	13607	905835
74	13788	905449
75	13981	905838
76	14165	905676
77	14346	905288
78	14528	904971
79	14709	904617
80	14902	905030
81	15084	904726
82	15267	904463
83	15449	904155
84	15630	903835
85	15825	904239
86	16005	903868
87	16187	903561
88	16367	903159
89	16548	902791
90	16741	903135
91	16923	902814
92	17104	902508
93	17286	902187
94	17467	901876
95	17661	902210
96	17842	901894
97	18025	901621
98	18205	901252
99	18386	900943
100	18579	901213
101	18761	900897
102	18942	900572
103	19124	900312
104	19304	899978
105	19499	900268
106	19681	899994
107	19862	899681
108	20042	899343
109	20224	899057
110	20417	899296
111	20598	898956
112	20781	898759
113	20961	898414
114	21142	898115
115	21335	898319
116	21516	898011
117	21700	897799
118	21881	897514
119	22062	897227
120	22257	897486
121	22439	897220
122	22621	896951
123	22802	896669
124	22985	896419
125	23179	896624
126	23363	896457
127	23548	896322
128	23730	896052
129	23914	895887
130	24107	896021
131	24290	895807
132	24471	895516
133	24653	895248
134	24837	895083
135	25031	895254
136	25216	895108
137	25401	894934
138	25582	894659
139	25764	894400
140	25959	894583
141	26142	894376
142	26325	894152
143	26511	894030
144	26695	893842
145	26889	893988
146	27070	893701
147	27250	893383
148	27437	893271
149	27618	892986
150	27811	893110
151	27993	892833
152	28185	892895
153	28371	892774
154	28552	892507
155	28750	892735
156	28935	892566
157	29121	892446
158	29303	892205
159	29489	892059
160	29686	892260
161	29869	892038
162	30057	891954
163	30241	891758
164	30425	891552
165	30622	891742
166	30809	891627
167	30996	891517
168	31186	891487
169	31369	891271
170	31567	891449
